id, name, value
128,qGLl,127.76
129,IyTp,128.37
130,yMPm,129.19
131,Fzaw,130.57
132,rgxr,131.4
133,AmwZ,132.36
134,GbEP,133.44
135,OUiG,134.56
136,Jetd,135.57
137,DmYj,136.65
138,neFG,137.52
139,MvDo,138.75
140,cDsb,139.46
141,yihm,140.59
142,VlRa,141.7
143,WuGA,142.03
144,puBl,143.01
145,HZJR,144.17
146,aYrq,145.6
147,szZy,146.82
148,wcMB,147.98
149,YYff,148.28
150,lWwl,149.78
151,oQdP,150.41
152,zMWC,151.72
153,AaTy,152.13
154,pfTg,153.82
155,WmAt,154.68
156,zxlR,155.94
157,FyJd,156.71
158,ghHv,157.15
159,Jqos,158.9
160,JwXq,159.59
161,pCSs,160.11
162,oezd,161.2
163,ZFgV,162.69
164,rKND,163.63
165,QLkN,164.55
166,klTJ,165.48
167,dxvh,166.61
168,RRET,167.21
169,VHup,168.18
170,odzo,169.98
171,kvUc,170.65
172,xZhE,171.73
173,xHIP,172.26
174,avDH,173.49
175,NFiV,174.88
176,sADs,175.05
177,MEzI,176.64
178,HXEt,177.83
179,TcdL,178.59
180,atmJ,179.43
181,fcSe,180.23
182,tGeS,181.84
183,pnBL,182.9
184,FirQ,183.75
185,CiNx,184.02
186,sGCp,185.54
187,lLqf,186.15
188,BqAo,187.79
189,vBBi,188.11
190,kSBB,189.42
191,FeZy,190.28
192,HSBl,191.18
193,aQvS,192.49
194,EEks,193.58
195,vGpF,194.17
196,wuJU,195.05
197,fanL,196.14
198,bLle,197.77
199,tKNl,198.95
200,oeQj,199.58
201,XbpG,200.63
202,pxjY,201.41
203,fbsz,202.64
204,Toop,203.31
205,SzhW,204.27
206,ypfj,205.94
207,JgQq,206.25
208,WWHU,207.39
209,ywts,208.21
210,WnKZ,209.46
211,INRs,210.74
212,DFfO,211.1
213,euJh,212.09
214,AFTC,213.13
215,tNFs,214.6
216,Svdz,215.64
217,ggtq,216.8
218,SEsh,217.13
219,lYPA,218.63
220,dWFj,219.09
221,nnod,220.93
222,YkOO,221.07
223,Jpnq,222.86
224,cKHr,223.58
225,qRdG,224.2
226,tLIq,225.41
227,IHmu,226.42
228,sNcI,227.66
229,Jibd,228.69
230,QtVJ,229.07
231,nGai,230.97
232,bQha,231.13
233,brqm,232.38
234,jumq,233.84
235,eiCM,234.85
236,XxVq,235.87
237,ejfr,236.61
238,WvSZ,237.36
239,hsPS,238.97
240,QEaP,239.55
241,gbGA,240.6
242,CFjy,241.94
243,Lcnf,242.96
244,YZDN,243.66
245,juhR,244.81
246,dwlb,245.93
247,JJPH,246.71
248,SRud,247.13
249,FSBC,248.99
250,Nbrm,249.12
251,ruPG,250.04
252,dMse,251.91
253,tGAf,252.4
254,zLBx,253.26
255,MFkf,254.48
256,WilV,255.27
257,eCqM,256.41
258,BCgd,257.11
259,nZgE,258.26
260,jWZR,259.93
261,USai,260.12
262,YxEW,261.32
263,IbRx,262.02
264,zbyS,263.87
265,vFzs,264.56
266,xHZF,265.97
267,BUhp,266.04
268,EdBX,267.53
269,qcWy,268.64
270,sVtG,269.24
271,lxOX,270.16
272,tFwh,271.13
273,sAsy,272.42
274,nNmi,273.9
275,cYEO,274.95
276,dIXh,275.51
277,ACwT,276.12
278,eWKK,278.0
279,QfnP,278.15
280,sjfK,279.6
281,JKrz,280.1
282,khdV,281.9
283,ScoU,282.56
284,FFuG,283.65
285,CmRi,284.38
286,nruj,285.34
287,oqpv,286.76
288,ylOR,287.22
289,gcfO,288.58
290,uMcK,289.86
291,xHZY,290.86
292,CbJR,291.04
293,tvAN,292.59
294,CaNV,293.56
295,UGWk,294.37
296,Gaeq,295.39
297,oyVr,296.82
298,gkDs,297.38
299,hwdv,298.14
300,BPLA,299.48
301,tryL,300.05
302,ENHQ,301.63
303,EsBl,302.85
304,SaPU,303.27
305,yUBt,304.48
306,rVhq,305.67
307,rmPs,306.64
308,GQam,307.56
309,udiD,308.07
310,PLaJ,309.05
311,uLPb,310.99
312,YrEh,311.65
313,fldX,312.86
314,uhYZ,313.38
315,Qnzp,314.7
316,IWfn,315.92
317,wGZE,316.68
318,kDMz,317.92
319,VIWB,318.76
320,LvUg,319.87
321,pHOi,320.5
322,sjIt,321.63
323,wfYw,322.58
324,gwlM,323.26
325,lwHV,324.68
326,dxid,325.56
327,bhsZ,326.78
328,YRKv,327.32
329,uxKp,328.07
330,Fhfr,329.15
331,tqAi,330.85
332,fNkN,331.03
333,waQS,332.1
334,ruNO,333.52
335,zLvu,334.25
336,YjIb,335.11
337,hCxb,336.28
338,PFsg,337.31
339,cbrP,338.49
340,LXsX,339.84
341,tSrs,340.69
342,bAEO,341.2
343,fVrc,342.97
344,VVcR,343.25
345,NvRZ,344.1
346,vaZV,345.86
347,cIGs,346.09
348,dFjS,347.09
349,ZvGd,348.82
350,qLis,349.04
351,QiNu,350.04
352,Jxdv,351.48
353,LOew,352.16
354,PNcs,353.33
355,TDSv,354.09
356,xmgt,355.12
357,dgAr,356.61
358,pYKb,357.6
359,eAPg,358.54
360,KCpC,359.23
361,tzYz,360.07
362,jtjL,361.87
363,AVZw,362.38
364,josl,363.06
365,AGrY,364.93
366,lrPV,365.77
367,dKCW,366.45
368,Osed,367.51
369,wlLV,368.74
370,gMUA,369.76
371,VAfe,370.36
372,oCoU,371.27
373,TzEX,372.08
374,miDA,373.69
375,eVVK,374.32
376,jpEr,375.56
377,sgFk,376.66
378,GyDs,377.99
379,QXSA,378.67
380,JpkB,379.69
381,FRVQ,380.3
382,IhgF,381.6
383,KTSM,382.12
384,aBOy,383.06
385,YmKL,384.23
386,QJbz,385.39
387,SwCw,386.44
388,OlJn,387.19
389,PsPp,388.01
390,KAsk,389.93
391,XlsD,390.85
392,vjft,391.4
393,GeiI,392.88
394,UVqH,393.67
395,wOHx,394.7
396,mRtA,395.04
397,hzJJ,396.38
398,DZnI,397.92
399,BfRs,398.27
400,aBMd,399.83
401,spbL,400.75
402,oMwq,401.2
403,PDrI,402.16
404,yBup,403.55
405,bxAs,404.25
406,aDFT,405.78
407,UNlH,406.46
408,RTtH,407.29
409,iCRE,408.1
410,XHqR,409.72
411,yPhz,410.1
412,EDOy,411.56
413,GNRe,412.48
414,Boba,413.58
415,lMET,414.59
416,AnJf,415.55
417,zYoh,416.46
418,USUq,417.54
419,nTTs,418.62
420,mFHy,419.57
421,hrmL,420.94
422,Tdqk,421.43
423,gKYI,422.79
424,LKzf,423.72
425,msmh,424.49
426,yxyV,425.01
427,dhky,426.59
428,ScgU,427.44
429,WzLT,428.38
430,SVkv,429.39
431,OjhX,430.89
432,oZjy,431.07
433,AtQJ,432.06
434,hhen,433.49
435,ZyPP,434.91
436,jfNn,435.01
437,ecNG,436.14
438,RJvg,437.91
439,NokN,438.98
440,qDAw,439.58
441,rryY,440.14
442,iqSa,441.38
443,fVby,442.06
444,jdFX,443.57
445,vanE,444.89
446,rPWT,445.12
447,uqSU,446.39
448,WsQk,447.2
449,ySwp,448.84
450,Lzsk,449.5
451,dVTb,450.29
452,JKwH,451.29
453,hryr,452.01
454,BWIK,453.23
455,YJsO,454.51
456,IPdU,455.38
457,xCiD,456.6
458,knps,457.95
459,OnVH,458.85
460,xocl,459.59
461,QBut,460.95
462,DdST,461.98
463,fXZa,462.5
464,owSy,463.02
465,FuUK,464.08
466,jIwJ,465.27
467,tPhi,466.4
468,fJNS,467.14
469,ohNW,468.85
470,eeJu,469.03
471,ojeU,470.15
472,aVPK,471.56
473,ADPc,472.94
474,WtZA,473.83
475,JpUV,474.09
476,NiNe,475.08
477,Wdpr,476.69
478,IWPi,477.19
479,BvJs,478.93
480,YuFl,479.11
481,LCgm,480.05
482,mlHM,481.87
483,XQkL,482.65
484,FmGX,483.69
485,zTyg,484.76
486,MJAc,485.82
487,NKGz,486.65
488,Txag,487.54
489,NTKd,488.71
490,SdHp,489.78
491,Soza,490.48
492,uxVI,491.46
493,EFBN,492.64
494,samb,493.21
495,BRoQ,494.95
496,OAeX,495.87
497,ntbX,496.55
498,Zmqa,497.83
499,oFTc,498.11
500,rGht,499.08
501,xOPv,500.59
502,NyLm,501.53
503,Eirq,502.41
504,sFVR,503.7
505,SQGX,504.66
506,WsZe,505.45
507,mQyK,506.49
508,IOwQ,507.4
509,yQBi,508.29
510,zrnD,509.65
511,GDjk,510.87
512,ietP,511.79
513,FNSX,512.32
514,aQJv,513.06
515,zXpL,514.07
516,bvwv,515.84
517,telI,516.91
518,Cppv,517.25
519,GryR,518.46
520,OPOm,519.01
521,tNaF,520.02
522,zzVe,521.97
523,fpLJ,522.75
524,hBUz,523.88
525,IvST,524.04
526,pSig,525.44
527,elWP,526.9
528,iBdo,527.59
529,adEb,528.88
530,MmFT,529.93
531,PPCA,530.16
532,JUsM,531.85
533,Rdwf,532.44
534,vcUN,533.85
535,UJso,534.51
536,IZLz,535.34
537,NKjP,536.4
538,FOML,537.13
539,UwwW,538.76
540,ZIKL,539.05
541,LFNg,540.07
542,Mdyp,541.46
543,ckdn,542.74
544,YiuE,543.54
545,egeY,544.86
546,ANTS,545.64
547,zmKm,546.17
548,twxf,547.51
549,vvhU,548.3
550,sarT,549.28
551,KRsS,550.76
552,FjIT,551.74
553,LQgN,552.61
554,spep,553.94
555,dHCe,554.38
556,Ooxs,555.95
557,mpbN,556.93
558,CXlK,557.42
559,ruCo,558.72
560,iLBe,559.81
561,Vayy,560.73
562,PORK,561.76
563,rBFG,562.29
564,hmHa,563.11
565,CJUI,564.15
566,ezsE,565.4
567,JIyR,566.53
568,IoyP,567.42
569,zYNk,568.63
570,hKNS,569.92
571,PjvU,570.38
572,zlzy,571.91
573,BsLh,572.37
574,ByHl,573.58
575,UbID,574.7
576,KbnD,575.69
577,Ngka,576.98
578,VReT,577.68
579,OdxY,578.15
580,ubNL,579.79
581,LfNO,580.24
582,PEiM,581.87
583,QEPE,582.19
584,ZhfK,583.09
585,OdCz,584.39
586,QVYV,585.85
587,SIWI,586.1
588,XGRH,587.7
589,FvUp,588.94
590,AcaO,589.98
591,XbvH,590.61
592,kWin,591.38
593,YwZY,592.3
594,cRSJ,593.1
595,Umlb,594.71
596,XDZg,595.32
597,rnGl,596.78
598,oKrm,597.45
599,eiAM,598.59
600,IXZH,599.98
601,pFIf,600.84
602,VoCJ,601.43
603,ZDSj,602.89
604,ZdhG,603.63
605,ygoN,604.4
606,bzIr,605.6
607,KArX,606.5
608,uxJK,607.66
609,jBeB,608.84
610,XOvb,609.63
611,wEqE,610.77
612,Aelq,611.1
613,toYZ,612.05
614,Cqho,613.56
615,bZiN,614.92
616,hRAl,615.26
617,MKZa,616.07
618,Ilkh,617.01
619,Ntum,618.49
620,dkOQ,619.16
621,IRbg,620.58
622,UbPC,621.86
623,DnLm,622.62
624,LqJg,623.28
625,eIkg,624.03
626,RoYW,625.34
627,nyMB,626.85
628,qXjv,627.15
629,pObH,628.43
630,prlh,629.82
631,SRSU,630.1
632,DdCF,631.73
633,jAeG,632.84
634,rNkA,633.19
635,FBKb,634.98
636,QXfM,635.67
637,NQtF,636.85
638,mdyS,637.75
639,LDdE,638.14
640,LQNY,639.93
641,krLy,640.43
642,YoZd,641.83
643,pKAu,642.78
644,ogLj,643.1
645,viNq,644.95
646,yvHt,645.94
647,rfsE,646.94
648,LWVH,647.34
649,YFvx,648.99
650,nfZO,649.08
651,PMtQ,650.55
652,kAms,651.65
653,CgBW,652.95
654,BnhZ,653.73
655,yHTb,654.6
656,dvmR,655.42
657,zJzN,656.3
658,ynep,657.14
659,YAMe,658.37
660,mQoO,659.39
661,SygO,660.8
662,BSlq,661.63
663,LdlG,662.59
664,Kggx,663.75
665,Falk,664.42
666,YVOC,665.66
667,tzWT,666.31
668,iExv,667.67
669,naNX,668.17
670,rUXU,669.37
671,ziEb,670.16
672,HIry,671.88
673,PqjH,672.1
674,LWDR,673.44
675,HkjK,674.85
676,mOVq,675.68
677,GWgw,676.97
678,NrOa,677.25
679,LkaJ,678.64
680,EGLV,679.76
681,yYMN,680.16
682,uWyF,681.91
683,GVgE,682.69
684,FKeF,683.61
685,ugQT,684.19
686,ROIU,685.99
687,Jfpm,686.69
688,OWfq,687.78
689,uxEA,688.85
690,FKhO,689.62
691,rjdv,690.03
692,kBLX,691.83
693,cVvd,692.46
694,Gryf,693.67
695,PhIF,694.08
696,EEIn,695.78
697,iAsj,696.64
698,LlMH,697.14
699,FfLf,698.36
700,tXQr,699.88
701,NcOB,700.22
702,RTSh,701.16
703,bMJc,702.77
704,DQwU,703.43
705,IaGn,704.33
706,jnfr,705.15
707,nLzu,706.16
708,FUfm,707.7
709,NBcx,708.06
710,gVMo,709.75
711,BEfg,710.46
712,asen,711.35
713,bBhE,712.32
714,KWMd,713.11
715,UlXN,714.38
716,SIZN,715.03
717,WDVh,716.82
718,FBIt,717.09
719,KPeJ,718.07
720,yxwC,719.95
721,VQvC,720.09
722,XrWl,721.04
723,lTPl,722.0
724,OZJB,723.63
725,NKyd,724.31
726,IXUR,725.88
727,BInb,726.6
728,kSvo,727.09
729,hSyD,728.84
730,zjcl,729.69
731,cUGY,730.94
732,TmeE,731.67
733,cwXL,732.88
734,lqeU,733.09
735,mDRF,735.0
736,MXJC,735.44
737,xwZJ,736.23
738,VnUG,737.5
739,Lwyc,738.62
740,QbsJ,739.07
741,ibCI,740.59
742,LvqV,741.34
743,hEdX,742.92
744,XcPw,743.8
745,GjMc,744.94
746,VcqY,745.36
747,FjFL,746.09
748,EhSB,747.67
749,FiNV,748.69
750,ToVx,749.79
751,pIyh,750.72
752,vJMc,751.67
753,Tmbp,752.32
754,cFMX,753.44
755,aklm,755.0
756,kyZJ,755.66
757,kQiH,756.65
758,IeqB,757.4
759,LTKB,758.41
760,wGFk,759.08
761,ywEB,760.5
762,BUFJ,761.55
763,xRZA,762.83
764,ZNAU,763.25
765,FcWw,764.35
766,OsYK,765.61
767,TYmn,766.13
768,KekI,767.95
769,DpXx,768.45
770,iVSa,769.34
771,zXmq,770.2
772,DZSg,771.93
773,iNpP,772.15
774,QmRb,773.05
775,fKLE,774.01
776,eIIv,775.47
777,Hqwz,776.27
778,HXHa,777.02
779,PffC,778.49
780,qKQD,779.82
781,ahxN,780.9
782,WxYd,781.58
783,zfIR,782.12
784,disD,783.96
785,aNyA,784.83
786,SBfR,785.65
787,UIVB,786.45
788,wXYh,787.75
789,zUqJ,788.26
790,qpzX,789.2
791,WjFo,791.0
792,trMl,791.95
793,nRnl,792.06
794,injW,793.75
795,tqWH,794.99
796,xsjX,795.64
797,cRzo,796.41
798,UKwz,797.49
799,sUyp,798.46
800,ZTCA,799.23
801,jMOP,800.64
802,pxYc,801.63
803,XMsM,802.63
804,NKJP,803.02
805,OLTA,804.57
806,EvZY,805.61
807,uTHZ,806.24
808,hHZk,807.85
809,vNyN,808.85
810,RvAW,809.79
811,QsYe,810.35
812,CEwr,811.0
813,FCXY,812.42
814,ieNo,813.97
815,SMgc,814.51
816,VoEA,815.68
817,TGhr,816.06
818,RMJQ,817.13
819,sxTx,818.63
820,vxHU,819.8
821,Pzbz,820.36
822,FpzG,821.06
823,NvgI,822.04
824,AYCW,823.45
825,MDbJ,824.42
826,CqIW,825.98
827,ybJi,826.25
828,gmwJ,827.8
829,iiaZ,828.12
830,SXno,829.45
831,CoaP,830.87
832,GUgV,831.25
833,tfdg,832.8
834,Scds,833.28
835,kyHw,834.36
836,nCQl,835.36
837,QVaw,836.01
838,ZmKo,837.82
839,gbvl,838.55
840,ptJN,839.09
841,VOmG,840.03
842,hTYm,841.34
843,OcSl,842.41
844,lWYC,843.91
845,GrbL,844.23
846,vYWx,845.83
847,tfIw,846.1
848,LNlY,847.07
849,CakS,848.97
850,DfFt,849.3
851,wtlO,850.2
852,XYql,851.75
853,KBSQ,852.6
854,BMJT,853.16
855,EPit,854.56
856,xbDs,855.69
857,aOtl,856.81
858,bbIl,857.55
859,pdTS,858.84
860,ykbD,859.86
861,vUYH,860.18
862,qoWA,861.44
863,Wqmu,862.05
864,ItAs,863.76
865,AigA,864.58
866,QZFB,865.13
867,jFgf,866.08
868,Hwpt,867.09
869,heiS,868.66
870,vdov,869.93
871,YySa,870.21
872,Ldhl,871.69
873,VTpa,872.43
874,oZpN,873.03
875,Eqyj,874.58
876,WSRl,875.31
877,QINA,876.35
878,kmte,877.47
879,aMQB,878.26
880,djhd,879.95
881,WJJb,880.89
882,eYvC,881.83
883,YGYQ,882.72
884,rJHT,883.3
885,eAuJ,884.02
886,lRir,885.82
887,IaRq,886.09
888,PDao,887.82
889,eNbT,888.71
890,odEp,889.16
891,dNLy,890.75
892,lpiA,891.05
893,jxpV,892.49
894,artA,893.57
895,YzRc,894.47
896,fmLz,895.9
897,RpSp,896.62
898,vzjo,897.1
899,JWJo,898.97
900,zkqF,899.18
901,kLrh,900.91
902,qXsN,901.36
903,lxGq,902.95
904,qdDN,903.3
905,LyWk,904.92
906,CKZD,905.39
907,XBfn,906.5
908,azjo,907.59
909,RRKM,908.73
910,fhTM,909.43
911,ARDa,910.38
912,lhXm,911.85
913,ytNL,912.78
914,qUpb,913.92
915,FDDx,914.89
916,MsiF,915.11
917,RvrP,916.53
918,DcGv,917.31
919,ZWKa,918.4
920,skFd,919.18
921,Mqrn,920.36
922,TlJe,921.21
923,euXd,922.17
924,oRru,923.62
925,kAvO,924.79
926,yJSz,925.92
927,qtLj,926.86
928,zBuR,927.32
929,kUsI,928.98
930,aQaw,929.27
931,GsDe,930.67
932,bLar,931.62
933,piJR,932.44
934,sxDb,933.88
935,Nvtd,934.52
936,qoFv,935.21
937,OcpE,936.48
938,ymxk,937.23
939,SBgE,938.56
940,DPAI,939.36
941,GbFr,940.7
942,cwjL,941.37
943,xttV,942.71
944,TBxU,943.44
945,ECXg,944.46
946,mjcT,945.49
947,ynjJ,946.4
948,XSMP,947.08
949,xbCO,948.61
950,yQwd,949.64
951,FmKC,950.0
952,ukeH,951.11
953,UnPP,952.07
954,cfio,953.58
955,jZGP,954.76
956,VIhY,955.03
957,dDyI,956.65
958,xbHo,957.67
959,sFoI,958.58
960,vsbr,959.55
961,jdxU,960.95
962,Agkl,961.96
963,UcuE,962.63
964,KoKe,963.1
965,yIsZ,964.64
966,YYfM,965.15
967,MPRG,966.24
968,kbFl,967.86
969,SIFu,968.19
970,yxdr,969.17
971,kaDS,970.91
972,QdLX,971.67
973,cipF,972.77
974,ARFh,973.17
975,ZcDK,974.66
976,SwHx,975.37
977,zteh,976.07
978,YPRx,977.97
979,Ukfq,978.07
980,jbwl,979.85
981,mcht,980.82
982,WzRY,981.69
983,FOiz,982.33
984,kQjt,983.61
985,qsSc,984.47
986,KSxI,985.45
987,yaEa,986.45
988,kohn,987.4
989,sswi,988.53
990,tiJP,989.55
991,tmLb,990.08
992,fuMi,991.73
993,HPCm,992.59
994,xeeY,993.55
995,NbyL,994.7
996,NcGH,995.49
997,lsvn,996.68
998,jxEW,997.24
999,acHc,998.89
1000,xORA,999.1
1001,PNPy,1000.22
1002,gRUC,1001.08
1003,jses,1002.4
1004,OlXj,1003.77
1005,QSyx,1004.09
1006,kmDe,1005.57
1007,YcHJ,1006.49
1008,AFyq,1007.95
1009,yXHj,1008.44
1010,Wlmo,1009.55
1011,BxYW,1010.02
1012,SIqd,1011.5
1013,vHLm,1012.65
1014,uUum,1013.86
1015,grRM,1014.84
1016,vngc,1015.67
1017,Mkvo,1016.23
1018,VQRK,1017.8
1019,IHJn,1018.92
1020,JUrH,1019.46
1021,swbV,1020.56
1022,HvPW,1021.07
1023,opsa,1022.24
1024,RCBm,1023.66
1025,GHUK,1024.21
1026,RwOx,1025.71
1027,ONPX,1026.63
1028,wjLq,1027.98
1029,nlyN,1028.79
1030,WzHd,1029.67
1031,JBRH,1030.6
1032,LnOt,1031.09
1033,aRZN,1032.22
1034,wsLm,1033.59
1035,fJbW,1034.18
1036,OCUp,1035.96
1037,jUZo,1036.64
1038,WsGb,1037.11
1039,nRLB,1038.03
1040,gCXn,1039.42
1041,hIsA,1040.03
1042,ozeN,1041.28
1043,uqvJ,1042.85
1044,Tlea,1043.75
1045,xwaF,1044.37
1046,kklx,1045.02
1047,XRiH,1046.32
1048,fVvC,1047.51
1049,xTqG,1048.96
1050,NpLq,1049.76
1051,WCOl,1051.0
1052,KgEP,1051.93
1053,LFmV,1052.75
1054,gSWk,1053.14
1055,iUIR,1054.59
1056,ZmXq,1055.48
1057,Dymb,1056.03
1058,AscH,1057.56
1059,ffLs,1058.5
1060,dldG,1059.32
1061,TNmt,1060.92
1062,MlMN,1061.95
1063,SYVM,1062.2
1064,nZxV,1063.58
1065,QJOF,1064.65
1066,dTJK,1065.65
1067,uydc,1066.12
1068,xEup,1067.61
1069,Xmpf,1068.5
1070,OoIH,1069.81
1071,facn,1070.75
1072,vzpT,1071.53
1073,qUfV,1072.86
1074,OgXZ,1073.16
1075,qWGC,1074.13
1076,gDxu,1075.24
1077,AMUB,1076.85
1078,jQDr,1077.03
1079,IBrz,1078.69
1080,DUSn,1079.52
1081,lcUC,1080.31
1082,exBl,1081.73
1083,Dlkp,1082.57
1084,PJtf,1083.65
1085,WPqs,1084.1
1086,uELR,1085.83
1087,JTGs,1086.25
1088,QxVj,1087.92
1089,oObI,1088.38
1090,Qgxn,1089.91
1091,dePM,1090.61
1092,yAiZ,1091.92
1093,YhMS,1092.38
1094,dTWU,1093.03
1095,vbNm,1094.9
1096,jaNQ,1095.43
1097,fnsW,1096.82
1098,pVWU,1097.32
1099,DneS,1098.7
1100,JOEl,1099.8
1101,ujUg,1100.13
1102,VGlE,1101.22
1103,bKoN,1102.04
1104,suCt,1103.65
1105,lPfq,1104.26
1106,WfBh,1105.92
1107,VNEh,1106.84
1108,csEB,1107.86
1109,fgwS,1109.0
1110,FFhi,1109.12
1111,UGtU,1110.78
1112,Sjyr,1111.78
1113,Oljz,1112.35
1114,xBoG,1113.83
1115,xtux,1114.73
1116,gZyv,1115.5
1117,XEYr,1116.12
1118,okqR,1117.8
1119,yXgq,1118.93
1120,lsRu,1119.96
1121,DpWa,1120.98
1122,EvNL,1121.03
1123,Ttpt,1122.62
1124,LbHb,1123.82
1125,USWk,1124.75
1126,nSgB,1125.27
1127,iVbT,1126.14
1128,Pgjo,1127.31
1129,IGkG,1128.05
1130,dduF,1129.96
1131,GqDn,1130.29
1132,ppcF,1131.74
1133,abPe,1132.24
1134,wvrP,1133.45
1135,vqxC,1134.53
1136,dbPN,1135.67
1137,VxJI,1136.94
1138,qnRt,1137.94
1139,KsrK,1138.75
1140,IogG,1139.48
1141,XdpY,1140.1
1142,bseQ,1141.78
1143,tNip,1142.66
1144,zxmI,1143.82
1145,IFDz,1144.85
1146,Fcym,1145.13
1147,yLOD,1146.95
1148,BQEF,1147.94
1149,AdwS,1148.26
1150,lwFv,1149.85
1151,sVaz,1150.94
1152,dKVE,1151.59
1153,pBuS,1152.79
1154,KELf,1153.51
1155,PALv,1154.02
1156,Rrhm,1155.91
1157,Jxpx,1156.86
1158,KjPl,1157.68
1159,PeLd,1158.52
1160,bfvT,1159.64
1161,Brfv,1160.93
1162,jbsH,1161.22
1163,PoXr,1162.26
1164,ZcIB,1163.78
1165,CCvw,1164.86
1166,AZTx,1165.99
1167,YXfo,1166.41
1168,Lqmh,1167.77
1169,IhFZ,1168.36
1170,NYlP,1169.61
1171,utHR,1170.43
1172,VhDy,1171.08
1173,MSmj,1172.37
1174,gZxL,1173.94
1175,RiJA,1174.49
1176,vJka,1175.24
1177,VWRd,1176.72
1178,gKjS,1177.24
1179,wNah,1178.4
1180,rtRO,1179.3
1181,NbGS,1180.99
1182,daHx,1181.51
1183,BIAZ,1182.07
1184,KEXH,1183.8
1185,mWhI,1184.34
1186,exue,1185.47
1187,clyy,1186.54
1188,VJHv,1187.9
1189,KqeR,1188.54
1190,oSNn,1189.4
1191,QgJt,1190.7
1192,EYbV,1191.23
1193,YVHv,1192.83
1194,azFC,1193.21
1195,UtGM,1194.54
1196,ofAF,1195.29
1197,FhWn,1196.4
1198,XXpn,1197.24
1199,ubJE,1198.58
1200,MftC,1199.1
1201,RFqG,1200.4
1202,SQVa,1201.0
1203,oLqk,1202.9
1204,fDVk,1203.75
1205,VbPg,1204.88
1206,jYcU,1205.98
1207,nlAM,1206.22
1208,CxDU,1207.32
1209,iYme,1208.41
1210,Cqwh,1209.13
1211,ttok,1210.19
1212,YnqR,1211.84
1213,ChlL,1212.72
1214,maJi,1213.43
1215,mkXF,1214.47
1216,CHxj,1215.03
1217,PsUe,1216.1
1218,OgjJ,1217.92
1219,yjiu,1218.38
1220,cmCP,1219.72
1221,WjOH,1220.15
1222,PZfC,1221.06
1223,vNey,1222.92
1224,XqJn,1223.98
1225,fHsP,1224.15
1226,yYdL,1225.96
1227,LInM,1226.95
1228,fDBc,1227.64
1229,OCua,1228.86
1230,BDiH,1229.94
1231,YTIX,1230.4
1232,DHWL,1231.73
1233,XBuH,1232.53
1234,VPLP,1233.31
1235,FmnX,1234.12
1236,TfTq,1235.34
1237,UPzw,1236.0
1238,OIMA,1237.41
1239,zxbA,1238.53
1240,JbGa,1239.4
1241,zqvD,1240.43
1242,LSUq,1241.25
1243,jNVo,1242.98
1244,KBIZ,1243.43
1245,BDeZ,1244.43
